HorasEstudio,Nota
11.8,17
7.3,17
25.0,8
8.9,0
5.0,10
27.8,19
15.4,8
1.9,10
1.5,12
27.6,6
2.4,11
5.5,17
12.6,8
4.8,14
17.7,0
15.1,18
1.2,15
17.0,18
10.1,7
10.9,7
15.5,16
5.5,10
27.6,13
21.0,8
13.7,11
23.1,15
28.8,6
11.3,5
6.0,0
22.8,20
21.8,6
25.3,17
25.2,9
1.7,1
11.2,17
7.8,7
21.8,4
9.7,11
4.8,18
13.9,17
1.2,19
11.2,7
11.1,11
9.2,18
20.2,0
8.1,10
26.2,16
23.3,0
25.4,17
6.2,19
10.1,16
7.0,15
10.6,0
2.7,3
19.6,2
19.6,13
4.3,5
16.4,6
17.0,7
6.2,15
29.9,14
20.6,5
17.2,3
27.3,10
14.7,3
2.6,19
27.0,10
19.3,19
7.1,0
13.7,4
26.5,16
14.2,5
18.8,14
29.5,11
26.1,9
13.2,5
27.5,17
20.1,1
26.5,5
19.4,15
20.7,10
10.3,10
28.1,5
20.6,5
2.7,20
25.0,16
15.0,7
1.9,8
7.4,7
0.3,13
21.8,10
27.3,20
1.0,17
9.6,13
27.5,5
1.7,6
6.5,7
16.0,14
23.3,10
3.0,17
