Estudiante,Horas de Estudio,Notas,Horas de Ejercicio,IMC,Horas de Videojuegos
1,5,85,2,22.5,3
2,3,75,1,24.0,5
3,4,80,3,23.0,2
4,6,90,4,21.0,1
5,2,70,0,26.0,6
6,7,95,5,20.0,0
7,1,65,0,27.5,7
8,8,92,6,19.5,1
9,4,78,2,25.0,4
10,5,82,3,22.0,3
11,6,88,4,21.5,2
12,3,76,1,24.5,5
13,5,84,2,23.5,3
14,2,72,0,26.5,6
15,7,91,5,20.5,1
16,1,68,0,28.0,8
17,8,94,6,19.0,2
18,4,79,3,24.0,4
19,5,81,3,22.5,3
20,6,87,4,21.0,2
21,3,74,1,25.0,5
22,5,83,2,23.0,3
23,2,71,0,27.0,6
24,7,90,5,20.0,1
25,1,66,0,28.5,7
26,8,93,6,19.5,2
27,4,77,3,24.5,4
28,5,80,3,22.0,3
29,6,89,4,21.5,2
30,3,73,1,25.5,5
31,5,86,2,23.5,3
32,2,69,0,26.5,6
33,7,92,5,20.5,1
34,1,67,0,28.0,8
35,8,95,6,19.0,2
36,4,78,3,24.0,4
37,5,82,3,22.5,3
38,6,86,4,21.0,2
39,3,75,1,24.5,5
40,5,84,2,23.0,3
41,2,70,0,26.0,6
42,7,91,5,20.0,1
43,1,64,0,27.5,7
44,8,93,6,19.5,2
45,4,79,3,24.0,4
46,5,81,3,22.5,3
47,6,88,4,21.5,2
48,3,76,1,24.5,5
49,5,85,2,23.5,3
50,2,72,0,26.5,6
