HorasJuego,Nota
1.6,1
8.0,15
6.7,10
0.2,9
17.9,12
1.0,1
18.9,20
14.8,1
11.7,8
13.7,18
16.4,9
3.1,4
13.4,17
0.0,13
7.2,7
0.2,4
19.1,0
10.3,6
17.1,6
15.4,2
10.0,13
2.6,5
4.2,20
7.1,0
18.4,3
14.3,11
14.8,14
6.3,11
18.9,12
14.1,5
6.4,15
14.0,11
3.8,11
17.1,14
0.1,18
0.3,0
16.8,17
6.2,7
11.8,1
16.7,13
15.3,13
15.9,10
2.9,4
16.3,12
4.3,13
7.5,4
2.3,9
10.2,16
6.3,19
8.5,5
9.8,10
2.1,17
11.7,15
12.6,7
5.0,5
16.2,14
11.5,16
11.4,4
13.3,11
10.6,19
7.6,2
8.0,20
4.2,3
13.9,2
10.4,20
6.7,5
7.0,19
20.0,15
10.4,2
1.0,3
1.1,20
13.3,0
6.7,20
10.3,13
1.7,11
5.3,1
18.5,4
13.2,8
4.3,15
17.4,4
3.4,5
9.4,13
3.3,20
11.9,16
18.7,18
18.1,7
5.8,7
2.1,13
16.3,5
13.0,3
4.6,20
2.1,16
18.8,20
16.3,19
9.0,8
14.2,18
11.5,12
17.7,5
10.1,13
18.2,9
