HorasEjercicio,IMC
0.2,29.05
5.6,26.72
2.8,18.93
4.3,31.06
3.3,26.67
6.9,34.47
7.3,19.2
7.6,28.75
4.0,22.49
3.0,32.05
3.6,30.13
5.0,23.96
2.0,32.77
0.7,30.8
4.3,27.26
4.5,18.6
2.2,22.22
3.2,23.32
9.6,26.15
8.3,28.57
7.3,30.66
8.8,22.8
3.0,24.89
8.7,32.33
6.7,32.63
0.5,28.03
4.0,32.07
5.6,27.36
6.7,33.77
2.8,20.84
7.2,25.93
9.3,26.57
3.4,20.47
9.5,31.49
8.0,26.15
3.4,24.21
6.8,31.96
3.0,20.88
5.5,19.53
8.7,24.94
4.9,27.44
5.7,33.92
7.2,24.4
9.9,33.36
8.1,26.63
2.0,22.07
4.0,19.22
1.8,26.1
3.8,25.23
3.3,33.63
0.7,23.57
3.1,23.59
7.0,27.3
4.0,24.43
7.5,28.96
6.9,33.59
1.9,22.27
8.3,19.38
3.4,32.99
9.6,33.63
8.4,23.02
3.4,18.77
5.6,26.17
4.2,25.34
3.6,30.97
4.0,21.04
4.8,30.06
6.4,29.1
2.2,26.72
0.7,33.84
2.5,34.04
6.7,20.98
7.3,28.01
5.4,24.19
0.4,23.05
9.1,33.55
3.7,26.97
1.6,23.9
1.7,31.19
7.3,29.11
9.5,23.86
1.3,21.19
0.9,29.83
8.8,26.3
7.3,28.61
0.4,31.0
10.0,28.99
2.9,28.11
4.4,20.01
3.4,22.62
9.7,32.36
1.1,29.06
2.6,32.81
4.1,22.05
8.9,26.44
0.5,21.14
5.8,21.17
2.7,34.06
7.5,29.81
8.5,19.12
